"id","start_date","end_date","record_date","lat","lng","governorate","district","registered","registration_type","business_name","economic_sector","sub_sector","products_services","phone_number","business_phone","employee_count","enterprise_size","has_vacancies","num_vacancies","current_interns","current_seasonal","current_entry_level","current_mid_senior","current_senior_mgmt","current_cust_service","current_sales","current_priority_it","current_priority_marketing","current_priority_admin","current_priority_finance","current_priority_logistics","current_priority_technical","current_priority_others","current_other_specify","youth_employment","future_needs","future_num_vacancies","future_interns","future_seasonal","future_entry_level","future_mid_senior","future_senior_mgmt","future_total","future_cust_service","future_sales","future_priority_it","future_priority_marketing","future_priority_admin","future_priority_finance","future_priority_logistics","future_priority_technical","future_priority_others","future_other_specify"
376583921,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.5185291,35.5705103,"Maan","Ash-Shobek","Yes","Sole proprietorship","The light shop for car parts.","Wholesale and Retail Trade","Retail trade (automotive)","Car decorations/sale of new and used car parts","0776101410","776101410","Less than 10 employees","Micro","Yes",2,0,1,0,1,0,0,0,0,0,0,0,0,0,1,"Car mechanic/oil spares","Yes","Yes",2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,"Car mechanic/oil spares"
376583930,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.5184715,35.5703857,"Maan","Ash-Shobek","Yes","Sole proprietorship","Mr. Khalid Al-Jabarat","Manufacturing","Metal fabrication","Manufacture of iron doors","0772127484","772127484","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes","Yes",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,"A blacksmith."
376583936,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.5189218,35.5736048,"Maan","Ash-Shobek","Yes","Sole proprietorship","Supermarket Glaxy.","Wholesale and Retail Trade","Retail trade (food)","Sale of food items","0777158851","777255078","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes","Yes",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,
376583943,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.5189883,35.5734545,"Maan","Ash-Shobek","Yes","Sole proprietorship","Alma Library","Wholesale and Retail Trade","Retail trade (general merchandise)","Printing/photographing/e-signals/processors","0772643093","772228389","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes","Yes",2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,
376583950,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.5198554,35.5748596,"Maan","Ash-Shobek","Yes","Cooperative","Chubek Children &apos; s Association of Military Retired Persons","Wholesale and Retail Trade","Retail trade (food)","Making bread of its kind.","0791062727","791062727","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes","Yes",2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,1,"Cashier/baked"
376583956,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.519967,35.5749043,"Maan","Ash-Shobek","Yes","Sole proprietorship","I'm looking forward to the calls.","Information and Communication","Internet service providers","Producing perfume/selling communication cards","0772143642","772143642","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes","Yes",1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,
376583963,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.5202885,35.5753009,"Maan","Ash-Shobek","Yes","Sole proprietorship","Supermarket Plaza.","Wholesale and Retail Trade","Retail trade (food)","Sale and delivery of food orders","0777765980","777765980","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes","Yes",2,0,1,1,0,0,2,0,1,0,0,0,1,0,0,0,
376583967,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.5205021,35.5756908,"Maan","Ash-Shobek","Yes","Sole proprietorship","Homeware.","Wholesale and Retail Trade","Retail trade (general merchandise)","Sale of household appliances","0777313521","777313521","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"No","Yes",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,
376583977,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.5202951,35.5754985,"Maan","Ash-Shobek","Yes","Sole proprietorship","Abu Adam Restaurant.","Accommodation and Food Services (Tourism(","Restaurants","Fast foods/snacks/popular foods","0795042348","770281928","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes","Yes",3,0,1,1,1,0,3,0,0,0,0,0,0,0,0,1,"A chef."
376583983,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.5194817,35.5742267,"Maan","Ash-Shobek","Yes","Sole proprietorship","Specify the galaxy.","Manufacturing","Metal fabrication","Manufacturing of doors and protections","0779792976","779792976","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes","Yes",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,"A blacksmith."
376583994,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,2024-08-28 00:00:00.000000000,30.518655,35.5730174,"Maan","Ash-Shobek","Yes","Sole proprietorship","The thorn triangle for mourning.","Manufacturing","Metal fabrication","Doors/metal industries manufacturing","0775424811","775424811","Less than 10 employees","Micro","No",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Yes","Yes",2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,1,"Haddad/Associate Technician"
